,id_Consumo,niv_consu,rein_delito
105,5,PROBLEMATICO,0
106,5,PROBLEMATICO,1
107,5,PROBLEMATICO,1
108,5,PROBLEMATICO,0
109,5,PROBLEMATICO,0
110,5,PROBLEMATICO,1
111,5,PROBLEMATICO,1
112,5,PROBLEMATICO,0
113,5,PROBLEMATICO,1
114,3,HABITUAL,1
115,3,HABITUAL,0
116,5,PROBLEMATICO,1
117,3,HABITUAL,0
118,1,ABSTINENCIA,0
119,3,HABITUAL,0
120,1,ABSTINENCIA,0
121,1,ABSTINENCIA,1
122,1,ABSTINENCIA,0
123,1,ABSTINENCIA,1
124,3,HABITUAL,0
125,1,ABSTINENCIA,0
126,1,ABSTINENCIA,0
127,3,HABITUAL,1
128,3,HABITUAL,1
129,3,HABITUAL,0
130,6,SOCIAL,0
131,5,PROBLEMATICO,1
132,3,HABITUAL,0
133,3,HABITUAL,0
134,3,HABITUAL,1
135,6,SOCIAL,0
136,6,SOCIAL,1
137,1,ABSTINENCIA,0
138,1,ABSTINENCIA,0
139,1,ABSTINENCIA,0
140,1,ABSTINENCIA,0
141,1,ABSTINENCIA,0
142,2,EXPERIMENTAL,0
143,5,PROBLEMATICO,1
144,4,NO CONSUME,0
145,5,PROBLEMATICO,1
146,1,ABSTINENCIA,0
147,3,HABITUAL,0
148,1,ABSTINENCIA,0
149,3,HABITUAL,1
150,1,ABSTINENCIA,0
151,2,EXPERIMENTAL,0
152,1,ABSTINENCIA,0
153,3,HABITUAL,1
154,5,PROBLEMATICO,0
155,5,PROBLEMATICO,1
156,1,ABSTINENCIA,0
157,1,ABSTINENCIA,0
158,1,ABSTINENCIA,0
159,5,PROBLEMATICO,1
160,3,HABITUAL,1
161,1,ABSTINENCIA,0
162,3,HABITUAL,1
163,1,ABSTINENCIA,0
164,5,PROBLEMATICO,0
165,1,ABSTINENCIA,0
166,2,EXPERIMENTAL,1
167,1,ABSTINENCIA,0
168,1,ABSTINENCIA,0
169,3,HABITUAL,0
170,1,ABSTINENCIA,0
171,3,HABITUAL,0
172,2,EXPERIMENTAL,0
173,2,EXPERIMENTAL,0
174,5,PROBLEMATICO,1
175,3,HABITUAL,1
176,2,EXPERIMENTAL,0
177,3,HABITUAL,1
178,6,SOCIAL,0
179,1,ABSTINENCIA,0
180,2,EXPERIMENTAL,0
181,3,HABITUAL,0
182,1,ABSTINENCIA,0
183,5,PROBLEMATICO,1
184,2,EXPERIMENTAL,1
185,1,ABSTINENCIA,0
186,1,ABSTINENCIA,0
187,1,ABSTINENCIA,0
188,3,HABITUAL,0
189,3,HABITUAL,0
190,2,EXPERIMENTAL,0
191,1,ABSTINENCIA,0
192,2,EXPERIMENTAL,0
193,3,HABITUAL,1
194,1,ABSTINENCIA,0
195,3,HABITUAL,1
196,5,PROBLEMATICO,1
197,3,HABITUAL,1
198,3,HABITUAL,1
199,3,HABITUAL,1
200,3,HABITUAL,1
201,2,EXPERIMENTAL,0
202,3,HABITUAL,1
203,5,PROBLEMATICO,1
204,3,HABITUAL,1
205,2,EXPERIMENTAL,1
206,2,EXPERIMENTAL,0
207,3,HABITUAL,1
208,3,HABITUAL,0
209,6,SOCIAL,0
210,1,ABSTINENCIA,0
211,2,EXPERIMENTAL,0
212,1,ABSTINENCIA,0
213,5,PROBLEMATICO,1
214,3,HABITUAL,1
215,6,SOCIAL,1
216,6,SOCIAL,0
