,id_tip_fam,tip_familiar,rein_delito
55,1,MONOPARENTAL FEMENINA PROPIA,0
56,5,RECONSTITUIDA,0
57,0,EXTENSA,1
58,3,NUCLEAR,0
59,0,EXTENSA,1
60,3,NUCLEAR,1
61,1,MONOPARENTAL FEMENINA PROPIA,0
62,3,NUCLEAR,0
63,5,RECONSTITUIDA,0
64,4,NUCLEAR PROPIA,0
65,3,NUCLEAR,0
66,0,EXTENSA,0
67,1,MONOPARENTAL FEMENINA PROPIA,0
68,1,MONOPARENTAL FEMENINA PROPIA,1
69,1,MONOPARENTAL FEMENINA PROPIA,0
70,1,MONOPARENTAL FEMENINA PROPIA,0
71,3,NUCLEAR,1
72,3,NUCLEAR,1
73,2,MONOPARENTAL MASCULINA,1
74,5,RECONSTITUIDA,0
75,1,MONOPARENTAL FEMENINA PROPIA,1
76,1,MONOPARENTAL FEMENINA PROPIA,1
77,0,EXTENSA,1
78,0,EXTENSA,0
79,3,NUCLEAR,1
80,1,MONOPARENTAL FEMENINA PROPIA,1
81,1,MONOPARENTAL FEMENINA PROPIA,1
82,1,MONOPARENTAL FEMENINA PROPIA,0
83,4,NUCLEAR PROPIA,1
84,5,RECONSTITUIDA,0
85,1,MONOPARENTAL FEMENINA PROPIA,1
86,1,MONOPARENTAL FEMENINA PROPIA,1
87,1,MONOPARENTAL FEMENINA PROPIA,1
88,2,MONOPARENTAL MASCULINA,1
89,1,MONOPARENTAL FEMENINA PROPIA,0
90,1,MONOPARENTAL FEMENINA PROPIA,0
91,0,EXTENSA,0
92,0,EXTENSA,0
93,6,RED DE APOYO,0
94,5,RECONSTITUIDA,1
95,1,MONOPARENTAL FEMENINA PROPIA,0
96,6,RED DE APOYO,1
97,3,NUCLEAR,0
98,0,EXTENSA,0
99,6,RED DE APOYO,0
100,1,MONOPARENTAL FEMENINA PROPIA,1
101,6,RED DE APOYO,0
102,1,MONOPARENTAL FEMENINA PROPIA,1
103,0,EXTENSA,0
104,1,MONOPARENTAL FEMENINA PROPIA,1
105,3,NUCLEAR,0
106,1,MONOPARENTAL FEMENINA PROPIA,1
107,0,EXTENSA,1
108,1,MONOPARENTAL FEMENINA PROPIA,0
109,1,MONOPARENTAL FEMENINA PROPIA,0
110,1,MONOPARENTAL FEMENINA PROPIA,1
111,6,RED DE APOYO,1
112,0,EXTENSA,0
113,5,RECONSTITUIDA,1
114,4,NUCLEAR PROPIA,1
115,5,RECONSTITUIDA,0
116,5,RECONSTITUIDA,1
117,2,MONOPARENTAL MASCULINA,0
118,3,NUCLEAR,0
119,1,MONOPARENTAL FEMENINA PROPIA,0
120,3,NUCLEAR,0
121,4,NUCLEAR PROPIA,1
122,5,RECONSTITUIDA,0
123,4,NUCLEAR PROPIA,1
124,2,MONOPARENTAL MASCULINA,0
125,5,RECONSTITUIDA,0
126,5,RECONSTITUIDA,0
127,3,NUCLEAR,1
128,3,NUCLEAR,1
129,1,MONOPARENTAL FEMENINA PROPIA,0
130,0,EXTENSA,0
131,2,MONOPARENTAL MASCULINA,1
132,6,RED DE APOYO,0
133,0,EXTENSA,0
134,1,MONOPARENTAL FEMENINA PROPIA,1
135,0,EXTENSA,0
136,5,RECONSTITUIDA,1
137,1,MONOPARENTAL FEMENINA PROPIA,0
138,0,EXTENSA,0
139,5,RECONSTITUIDA,0
140,3,NUCLEAR,0
141,5,RECONSTITUIDA,0
142,3,NUCLEAR,0
143,5,RECONSTITUIDA,1
144,5,RECONSTITUIDA,0
145,1,MONOPARENTAL FEMENINA PROPIA,1
146,3,NUCLEAR,0
147,5,RECONSTITUIDA,0
148,1,MONOPARENTAL FEMENINA PROPIA,0
149,1,MONOPARENTAL FEMENINA PROPIA,1
150,1,MONOPARENTAL FEMENINA PROPIA,0
151,1,MONOPARENTAL FEMENINA PROPIA,0
152,1,MONOPARENTAL FEMENINA PROPIA,0
153,3,NUCLEAR,1
154,3,NUCLEAR,0
155,5,RECONSTITUIDA,1
156,3,NUCLEAR,0
157,3,NUCLEAR,0
158,0,EXTENSA,0
159,5,RECONSTITUIDA,1
160,7,UNIPERSONAL,1
161,3,NUCLEAR,0
162,1,MONOPARENTAL FEMENINA PROPIA,1
163,4,NUCLEAR PROPIA,0
164,1,MONOPARENTAL FEMENINA PROPIA,0
165,3,NUCLEAR,0
166,1,MONOPARENTAL FEMENINA PROPIA,1
167,3,NUCLEAR,0
168,1,MONOPARENTAL FEMENINA PROPIA,0
169,3,NUCLEAR,0
170,5,RECONSTITUIDA,0
171,1,MONOPARENTAL FEMENINA PROPIA,0
172,5,RECONSTITUIDA,0
173,5,RECONSTITUIDA,0
174,0,EXTENSA,1
175,1,MONOPARENTAL FEMENINA PROPIA,1
176,3,NUCLEAR,0
177,5,RECONSTITUIDA,1
178,5,RECONSTITUIDA,0
179,3,NUCLEAR,0
180,0,EXTENSA,0
181,5,RECONSTITUIDA,0
182,3,NUCLEAR,0
183,3,NUCLEAR,1
184,5,RECONSTITUIDA,1
185,5,RECONSTITUIDA,0
186,3,NUCLEAR,0
187,1,MONOPARENTAL FEMENINA PROPIA,0
188,4,NUCLEAR PROPIA,0
189,1,MONOPARENTAL FEMENINA PROPIA,0
190,0,EXTENSA,0
191,0,EXTENSA,0
192,1,MONOPARENTAL FEMENINA PROPIA,0
193,3,NUCLEAR,1
194,5,RECONSTITUIDA,0
195,1,MONOPARENTAL FEMENINA PROPIA,1
196,1,MONOPARENTAL FEMENINA PROPIA,1
197,3,NUCLEAR,1
198,1,MONOPARENTAL FEMENINA PROPIA,1
199,0,EXTENSA,1
200,1,MONOPARENTAL FEMENINA PROPIA,1
201,3,NUCLEAR,0
202,0,EXTENSA,1
203,1,MONOPARENTAL FEMENINA PROPIA,1
204,3,NUCLEAR,1
205,3,NUCLEAR,0
206,5,RECONSTITUIDA,1
207,1,MONOPARENTAL FEMENINA PROPIA,0
208,1,MONOPARENTAL FEMENINA PROPIA,0
209,3,NUCLEAR,0
210,1,MONOPARENTAL FEMENINA PROPIA,0
211,1,MONOPARENTAL FEMENINA PROPIA,0
212,1,MONOPARENTAL FEMENINA PROPIA,1
213,0,EXTENSA,1
214,3,NUCLEAR,1
215,1,MONOPARENTAL FEMENINA PROPIA,0
